datetime,datetime,year,month,day,random,sazonal,timeSeries
2002-01-01 00:00:00,2002-01-01 00:00:00,2002,1,1,0.5583707482684331,1.0,10.558370748268434
2002-01-01 01:00:00,2002-01-01 01:00:00,2002,1,1,0.30525605808538037,0.9999997588734665,10.305253646820045
2002-01-01 02:00:00,2002-01-01 02:00:00,2002,1,1,0.4779626411118577,0.9999990354939822,10.47795299605168
2002-01-01 03:00:00,2002-01-01 03:00:00,2002,1,1,0.48943202070626046,0.999997829861896,10.48941031932522
2002-01-01 04:00:00,2002-01-01 04:00:00,2002,1,1,0.7356423046298329,0.9999961419777894,10.735603724407726
2002-01-01 05:00:00,2002-01-01 05:00:00,2002,1,1,0.10729260842794563,0.9999939718424762,10.107232326852708
2002-01-01 06:00:00,2002-01-01 06:00:00,2002,1,1,0.05788425097812655,0.9999913194570031,10.057797445548157
2002-01-01 07:00:00,2002-01-01 07:00:00,2002,1,1,0.11881175577231284,0.9999881848226492,10.118693603998805
2002-01-01 08:00:00,2002-01-01 08:00:00,2002,1,1,0.3273919879785595,0.9999845679409262,10.327237667387822
2002-01-01 09:00:00,2002-01-01 09:00:00,2002,1,1,0.28061239114036685,0.9999804688135782,10.280417079276148
2002-01-01 10:00:00,2002-01-01 10:00:00,2002,1,1,0.9980875159361337,0.9999758874425823,10.997846390361955
2002-01-01 11:00:00,2002-01-01 11:00:00,2002,1,1,0.7124454134524999,0.9999708238301476,10.712153651753976
2002-01-01 12:00:00,2002-01-01 12:00:00,2002,1,1,0.15876158527339113,0.9999652779787161,10.158414365060553
2002-01-01 13:00:00,2002-01-01 13:00:00,2002,1,1,0.6871827878289304,0.9999592498909624,10.686775286738555
2002-01-01 14:00:00,2002-01-01 14:00:00,2002,1,1,0.05201544908576916,0.9999527395697936,10.051542844783704
2002-01-01 15:00:00,2002-01-01 15:00:00,2002,1,1,0.39947550301306334,0.9999457470183493,10.398932973196557
2002-01-01 16:00:00,2002-01-01 16:00:00,2002,1,1,0.9784267556981804,0.9999382722400014,10.977809478098195
2002-01-01 17:00:00,2002-01-01 17:00:00,2002,1,1,0.5597146100236418,0.9999303152383551,10.559017762407192
2002-01-01 18:00:00,2002-01-01 18:00:00,2002,1,1,0.5970550718785886,0.9999218760172474,10.596273832051063
2002-01-01 19:00:00,2002-01-01 19:00:00,2002,1,1,0.5686835000559356,0.999912954580748,10.567813045863417
2002-01-01 20:00:00,2002-01-01 20:00:00,2002,1,1,0.6520047127467334,0.9999035509331596,10.65104022207833
2002-01-01 21:00:00,2002-01-01 21:00:00,2002,1,1,0.29359361236992476,0.9998936650790171,10.292530263160096
2002-01-01 22:00:00,2002-01-01 22:00:00,2002,1,1,0.0037017217133726854,0.9998832970230879,10.002534691944252
2002-01-01 23:00:00,2002-01-01 23:00:00,2002,1,1,0.5917804748447869,0.9998724467703719,10.590504942548506
2002-01-02 00:00:00,2002-01-02 00:00:00,2002,1,2,0.01839075440629412,0.9998611143261019,10.017001897667313
2002-01-02 01:00:00,2002-01-02 01:00:00,2002,1,2,0.14612199598137232,0.9998492996957429,10.144614992938802
2002-01-02 02:00:00,2002-01-02 02:00:00,2002,1,2,0.45707252131334986,0.9998370028849926,10.455442550163276
